Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
02/09/2014,532.1,575.2,532.1,557.4,561.7298194361,698977,22525,392636224,119241,17.06,43.1,25.3
01/09/2014,519.8,531.95,515,529.7,525.2127312792,186517,5171,97961103,66841,35.84,16.95,9.9
28/08/2014,514,515.9,506.95,514.3,511.7801655411,98465,3494,50392434,21894,22.24,8.95,0.3
27/08/2014,514,517,508.5,513.15,512.1152155574,90092,3252,46137484,13648,15.15,8.5,-0.85
26/08/2014,507,517.1,505.2,511.45,511.6405833677,198914,7727,101772475,43300,21.77,11.9,4.45
25/08/2014,496.9,508.1,495.3,505.95,503.9092776372,185004,6150,93225232,56553,30.57,12.8,9.05
22/08/2014,492,501,491.8,498.1,497.0623323283,168484,7136,83747050,45089,26.76,9.2,6.1
21/08/2014,492,499.7,486.3,492.9,493.3984685341,194846,7944,96136718,49514,25.41,13.4,0.9
20/08/2014,474,496.4,472.35,491.9,487.4382849356,394061,12995,192080418,117597,29.84,24.05,17.9
19/08/2014,472,476,465.7,473.95,471.1370749577,183717,5720,86555890,52862,28.77,10.3,1.95
18/08/2014,446.25,471,442,469.75,461.2914806087,557622,14799,257226278,211043,37.85,29,23.5
14/08/2014,442,452,432.9,448,442.4824496385,242844,8525,107454208,56342,23.2,19.1,6
13/08/2014,445.55,450.5,437.15,439.3,445.032881139,95313,3591,42417419,24007,25.19,13.35,-6.25
12/08/2014,438.25,445.75,437.55,444.9,442.8728550105,89103,3809,39461300,34972,39.25,8.2,6.65
11/08/2014,439,442.9,435.25,436.85,439.6358023515,52477,2139,23070768,12143,23.14,7.65,-2.15
08/08/2014,432,437.75,430.35,436.5,433.9705560762,64020,2243,27782795,17330,27.07,7.4,4.5
07/08/2014,436,439.35,432.5,435.1,435.7388395305,82053,3058,35753679,8659,10.55,6.85,-0.9
06/08/2014,440.55,440.6,433.1,435.05,436.2045446685,86739,3463,37835946,29344,33.83,7.5,-5.5
05/08/2014,443.25,443.35,435.75,440.55,440.5729716515,89987,3348,39645840,23496,26.11,7.6,-2.7
04/08/2014,445,447.3,437.05,440.95,440.6889898454,130089,3660,57328790,53124,40.84,10.25,-4.05
01/08/2014,456.9,460.7,440.35,442.5,451.265606856,208402,6509,94044655,64736,31.06,20.35,-14.4
31/07/2014,448.35,462.65,447.4,456.3,457.4098457441,318432,10392,145653932,88523,27.8,15.25,7.95
30/07/2014,441,451,439.4,447.7,444.5774127222,139583,4869,62055449,43282,31.01,11.6,6.7
28/07/2014,445,446,438,439.75,440.7989355886,62194,2305,27415049,18077,29.07,8,-5.25
25/07/2014,440,445.95,439.3,444.7,443.4182837875,116256,3710,51550036,32566,28.01,6.65,4.7
24/07/2014,441.05,443.9,437.85,439.3,440.1368669923,57523,2205,25317993,14402,25.04,6.05,-1.75
23/07/2014,440.35,447.2,438.3,442,442.9373981608,106786,3913,47299513,17723,16.6,8.9,1.65
22/07/2014,440,443.3,436.7,440.7,439.1540563659,270057,2469,118596627,219175,81.16,6.6,0.7
21/07/2014,442.75,444,436.1,437.5,439.3228263845,65766,1982,28892505,19040,28.95,7.9,-5.25
18/07/2014,439.95,443.9,439.25,440.95,441.6473142541,93959,3796,41496740,16572,17.64,4.65,1
17/07/2014,430.4,440.85,430.4,437.15,437.6906288096,101716,3202,44520140,21951,21.58,10.45,6.75
16/07/2014,435,436,430,431.8,431.9490524134,67540,1944,29173839,29089,43.07,6,-3.2
15/07/2014,434.25,435.4,427.55,432.95,430.9199369135,102082,3616,43989169,23746,23.26,7.85,-1.3
14/07/2014,437,438.55,429.15,432.65,432.4177435156,85744,2768,37077227,20668,24.1,9.4,-4.35
11/07/2014,433,444.8,430.5,435.75,438.1655201659,127344,5284,55797750,27508,21.6,14.3,2.75
10/07/2014,436,442.1,425.9,435,433.3118968483,137196,6386,59448659,22698,16.54,16.2,-1
09/07/2014,445.3,446.55,433.25,436.05,440.9881237974,160068,5514,70588087,36167,22.59,13.3,-9.25
08/07/2014,450.45,460.45,437.95,442.2,453.1535400117,375140,10007,169996019,89520,23.86,22.5,-8.25
07/07/2014,450,453,444.6,449.3,448.6047856122,135782,4165,60912455,41850,30.82,8.4,-0.7
04/07/2014,448,452.7,441.6,447.9,448.0479842633,191146,6110,85642580,48528,25.39,11.1,-0.1
03/07/2014,444.5,448,443.35,446.5,446.1871681355,72507,2500,32351693,24020,33.13,4.65,2
02/07/2014,437,446.15,437,443.5,442.3162635543,256008,7001,113236502,68721,26.84,9.15,6.5
01/07/2014,438.8,441.4,435.2,436.3,438.4962637363,145600,3940,63845056,40701,27.95,6.2,-2.5
30/06/2014,442,445,436.3,437.95,440.9359251908,310871,8827,137074192,71909,23.13,8.7,-4.05
27/06/2014,423.9,442.4,423.7,437.3,434.7683133404,274513,6304,119349554,85404,31.11,18.7,13.4
26/06/2014,425,431.9,421.6,426.25,424.9963910725,180386,5049,76663399,41289,22.89,10.3,1.25
25/06/2014,429.05,430.7,424.25,426.3,427.5713449572,129848,3644,55519284,28302,21.8,6.45,-2.75
24/06/2014,426.8,429.1,423.5,426.35,426.8543438103,144539,4343,61697100,39161,27.09,5.6,-0.45
23/06/2014,427.5,429.3,418.5,423.75,422.3835398415,143255,6426,60508554,41311,28.84,10.8,-3.75
20/06/2014,427.95,437.55,421.6,424.5,430.133511917,331124,11532,142427529,57053,17.23,15.95,-3.45
19/06/2014,430,430,419.65,425,425.7368501507,340175,11900,144825033,102248,30.06,10.35,-5
