Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23/09/2014,1527,1527,1491.3,1496.8,1509.321908884,224110,23558,338254133,113681,50.73,35.7,-30.2
22/09/2014,1527,1543.05,1516.2,1533.8,1529.6749660722,168004,13772,256991513,53729,31.98,26.85,6.8
19/09/2014,1578.25,1588.05,1531.3,1535.3,1551.2096849549,158390,13327,245696102,56339,35.57,56.75,-42.95
18/09/2014,1513,1581,1510.2,1574.9,1551.9237843096,192257,15946,298368211,64449,33.52,70.8,61.9
17/09/2014,1532.8,1534,1501,1520.65,1514.1479230904,177403,15256,268614384,54744,30.86,33,-12.15
16/09/2014,1565.1,1568.9,1510,1516.9,1539.7495515581,176723,14587,272109160,63292,35.81,58.9,-48.2
15/09/2014,1568.8,1571.6,1555.2,1560.4,1562.7902618443,91352,8640,142764016,33081,36.21,16.4,-8.4
12/09/2014,1597.3,1607,1576.8,1578.85,1586.2225876785,134383,10815,213161350,48678,36.22,30.2,-18.45
11/09/2014,1590.2,1609,1586.5,1596.45,1596.420997439,140179,10405,223784699,59050,42.12,22.5,6.25
10/09/2014,1596.7,1598.35,1580,1586.6,1588.0076647083,114551,9867,181907866,36129,31.54,18.35,-10.1
09/09/2014,1628.55,1628.55,1602.65,1607,1610.0020064165,98185,9697,158078047,29868,30.42,25.9,-21.55
08/09/2014,1621.3,1629.95,1617.4,1625.7,1624.592754921,116134,8411,188670455,33812,29.11,12.55,4.4
05/09/2014,1589.5,1620.9,1583,1609.25,1607.2438983819,174339,14630,280205294,41751,23.95,37.9,19.75
04/09/2014,1600,1604.5,1573.25,1589,1584.3877546718,94877,8573,150321957,20556,21.67,31.25,-11
03/09/2014,1586,1605,1579.45,1598.15,1594.1287311025,232438,17627,370536094,85385,36.73,25.55,12.15
02/09/2014,1578.8,1595,1557.1,1576.75,1577.4023160763,146800,12584,231562660,31855,21.7,37.9,-2.05
01/09/2014,1535,1581,1535,1577.55,1568.5796165566,264185,22403,414395206,98497,37.28,46,42.55
28/08/2014,1507.2,1535,1507,1526.9,1519.8506541168,138966,9126,211207566,48855,35.16,28,19.7
27/08/2014,1515.35,1520.45,1495.45,1502.55,1506.5633693587,140549,8383,211745975,78859,56.11,25,-12.8
26/08/2014,1523.8,1523.8,1490,1504,1502.6541146171,121919,12354,183202087,41152,33.75,33.8,-19.8
25/08/2014,1544.6,1550,1517.05,1524.3,1536.2254398501,146243,11457,224662217,30795,21.06,32.95,-20.3
22/08/2014,1537.2,1556,1530.95,1536.55,1542.8936104218,157976,14456,243740161,38165,24.16,25.05,-0.65
21/08/2014,1519.7,1536.7,1507.65,1531.95,1528.3932250541,164636,13665,251628547,47269,28.71,29.05,12.25
20/08/2014,1532,1539,1511,1517.55,1521.0605382329,115712,9253,176004957,37562,32.46,28,-14.45
19/08/2014,1525.2,1543.8,1523.45,1531.6,1536.6385201637,249433,15420,383288356,142175,57,20.35,6.4
18/08/2014,1484.65,1524.6,1484.65,1515.75,1512.0545808071,217549,18477,328945962,82735,38.03,39.95,31.1
14/08/2014,1462.55,1487.05,1458.15,1481.6,1473.4798471135,135787,11927,200079408,40704,29.98,28.9,19.05
13/08/2014,1477.8,1478,1442.35,1453.15,1457.9206433558,205112,16013,299037019,77617,37.84,35.65,-24.65
12/08/2014,1467.55,1492,1467.55,1487.85,1482.6251242211,137859,13053,204393217,44702,32.43,24.45,20.3
11/08/2014,1454.6,1469.1,1453,1461.7,1463.4237446815,131381,11141,192266075,42549,32.39,16.1,7.1
08/08/2014,1467.5,1470,1439.2,1442.75,1451.5588604905,327053,30128,474736680,137566,42.06,30.8,-24.75
07/08/2014,1497,1497,1476.6,1481.75,1486.9868874687,190276,14903,282937917,46523,24.45,20.4,-15.25
06/08/2014,1489.7,1511,1481.05,1484.8,1495.889659087,232552,21117,347872132,55355,23.8,29.95,-4.9
05/08/2014,1500,1500.75,1475.25,1490.05,1487.9016307953,281887,17415,419420127,84095,29.83,25.5,-9.95
04/08/2014,1476.2,1496.95,1476.2,1493.6,1488.0537154253,253726,18990,377557917,75426,29.73,20.75,17.4
01/08/2014,1490,1503.2,1466.4,1471.95,1482.9179658898,467074,42187,692632426,182439,39.06,36.8,-18.05
