Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30/01/2015,370.95,371.95,363.8,368.6,367.1142909407,267869,7475,98338538,116620,43.54,8.15,-2.35
29/01/2015,361.95,372,360.1,369.7,366.8305225331,427992,10997,157000529,225235,52.63,11.9,7.75
28/01/2015,360,363.95,358,362.4,360.9368459724,342971,7755,123790871,158667,46.26,5.95,2.4
27/01/2015,350.05,360.45,350,359.75,356.521818299,527768,11360,188160807,224044,42.45,10.45,9.7
23/01/2015,352.5,355.7,348.75,349.25,351.1422110267,510523,13203,179266175,215578,42.23,6.95,-3.25
22/01/2015,353,359.6,348.9,350.35,356.8064003225,2440877,17006,870920536,2035193,83.38,10.7,-2.65
21/01/2015,372.7,373.6,349.2,352.6,357.9699675042,1781770,37883,637820149,726851,40.79,24.4,-20.1
20/01/2015,358.4,372,358.4,371.2,366.9446853331,553506,11126,203106085,260184,47.01,13.6,12.8
19/01/2015,360.5,361.8,356.05,358.4,359.050938691,220147,5480,79043987,90189,40.97,5.75,-2.1
16/01/2015,358.15,360.15,354.75,359.3,358.0374067392,205070,4860,73422731,57031,27.81,5.4,1.15
15/01/2015,354,359.9,350.95,358,355.8331661635,390820,8653,139066718,146925,37.59,8.95,4
14/01/2015,359,359,346.1,348.4,349.5329758663,745803,17160,260682742,279920,37.53,12.9,-10.6
13/01/2015,358,361.4,357,360.25,359.9007506295,210490,5335,75755509,84841,40.31,4.4,2.25
12/01/2015,358.45,361.5,356.25,357.95,358.2032091475,244177,8511,87464985,72598,29.73,5.25,-0.5
09/01/2015,363.85,365.8,353.15,356.7,357.2258002237,424725,10050,151722728,203567,47.93,12.65,-7.15
08/01/2015,356,363.3,355.25,362.45,359.0687692425,287774,8645,103330656,143743,49.95,8.05,6.45
07/01/2015,360.6,364,352.95,353.55,356.0335810684,416574,9035,148314333,210364,50.5,11.05,-7.05
06/01/2015,369.75,370,359.15,360.6,363.9140161573,708040,9536,257665680,480234,67.83,10.85,-9.15
05/01/2015,369,372,368,369.8,369.8010013116,292017,7042,107988179,133472,45.71,4,0.8
